: антонимы с не-
возможно невозможно можно нельзя
возможно невозможно далеко недалеко
возможно невозможно всех никого
возможно невозможно всегда никогда
возможно невозможно приятно неприятно
возможно невозможно хорошо нехорошо
возможно невозможно правда неправда
возможно невозможно давно недавно
возможно невозможно справедливо несправедливо
возможно невозможно заметно незаметно
возможно невозможно охотно неохотно
возможно невозможно известно неизвестно
возможно невозможно долго недолго
возможно невозможно счастье несчастье
возможно невозможно терпеливо нетерпеливо
можно нельзя возможно невозможно
можно нельзя далеко недалеко
можно нельзя всех никого
можно нельзя всегда никогда
можно нельзя приятно неприятно
можно нельзя хорошо нехорошо
можно нельзя правда неправда
можно нельзя давно недавно
можно нельзя справедливо несправедливо
можно нельзя заметно незаметно
можно нельзя охотно неохотно
можно нельзя известно неизвестно
можно нельзя долго недолго
можно нельзя счастье несчастье
можно нельзя терпеливо нетерпеливо
далеко недалеко возможно невозможно
далеко недалеко можно нельзя
далеко недалеко всех никого
далеко недалеко всегда никогда
далеко недалеко приятно неприятно
далеко недалеко хорошо нехорошо
далеко недалеко правда неправда
далеко недалеко давно недавно
далеко недалеко справедливо несправедливо
далеко недалеко заметно незаметно
далеко недалеко охотно неохотно
далеко недалеко известно неизвестно
далеко недалеко долго недолго
далеко недалеко счастье несчастье
далеко недалеко терпеливо нетерпеливо
всех никого возможно невозможно
всех никого можно нельзя
всех никого далеко недалеко
всех никого всегда никогда
всех никого приятно неприятно
всех никого хорошо нехорошо
всех никого правда неправда
всех никого давно недавно
всех никого справедливо несправедливо
всех никого заметно незаметно
всех никого охотно неохотно
всех никого известно неизвестно
всех никого долго недолго
всех никого счастье несчастье
всех никого терпеливо нетерпеливо
всегда никогда возможно невозможно
всегда никогда можно нельзя
всегда никогда далеко недалеко
всегда никогда всех никого
всегда никогда приятно неприятно
всегда никогда хорошо нехорошо
всегда никогда правда неправда
всегда никогда давно недавно
всегда никогда справедливо несправедливо
всегда никогда заметно незаметно
всегда никогда охотно неохотно
всегда никогда известно неизвестно
всегда никогда долго недолго
всегда никогда счастье несчастье
всегда никогда терпеливо нетерпеливо
приятно неприятно возможно невозможно
приятно неприятно можно нельзя
приятно неприятно далеко недалеко
приятно неприятно всех никого
приятно неприятно всегда никогда
приятно неприятно хорошо нехорошо
приятно неприятно правда неправда
приятно неприятно давно недавно
приятно неприятно справедливо несправедливо
приятно неприятно заметно незаметно
приятно неприятно охотно неохотно
приятно неприятно известно неизвестно
приятно неприятно долго недолго
приятно неприятно счастье несчастье
приятно неприятно терпеливо нетерпеливо
хорошо нехорошо возможно невозможно
хорошо нехорошо можно нельзя
хорошо нехорошо далеко недалеко
хорошо нехорошо всех никого
хорошо нехорошо всегда никогда
хорошо нехорошо приятно неприятно
хорошо нехорошо правда неправда
хорошо нехорошо давно недавно
хорошо нехорошо справедливо несправедливо
хорошо нехорошо заметно незаметно
хорошо нехорошо охотно неохотно
хорошо нехорошо известно неизвестно
хорошо нехорошо долго недолго
хорошо нехорошо счастье несчастье
хорошо нехорошо терпеливо нетерпеливо
правда неправда возможно невозможно
правда неправда можно нельзя
правда неправда далеко недалеко
правда неправда всех никого
правда неправда всегда никогда
правда неправда приятно неприятно
правда неправда хорошо нехорошо
правда неправда давно недавно
правда неправда справедливо несправедливо
правда неправда заметно незаметно
правда неправда охотно неохотно
правда неправда известно неизвестно
правда неправда долго недолго
правда неправда счастье несчастье
правда неправда терпеливо нетерпеливо
давно недавно возможно невозможно
давно недавно можно нельзя
давно недавно далеко недалеко
давно недавно всех никого
давно недавно всегда никогда
давно недавно приятно неприятно
давно недавно хорошо нехорошо
давно недавно правда неправда
давно недавно справедливо несправедливо
давно недавно заметно незаметно
давно недавно охотно неохотно
давно недавно известно неизвестно
давно недавно долго недолго
давно недавно счастье несчастье
давно недавно терпеливо нетерпеливо
справедливо несправедливо возможно невозможно
справедливо несправедливо можно нельзя
справедливо несправедливо далеко недалеко
справедливо несправедливо всех никого
справедливо несправедливо всегда никогда
справедливо несправедливо приятно неприятно
справедливо несправедливо хорошо нехорошо
справедливо несправедливо правда неправда
справедливо несправедливо давно недавно
справедливо несправедливо заметно незаметно
справедливо несправедливо охотно неохотно
справедливо несправедливо известно неизвестно
справедливо несправедливо долго недолго
справедливо несправедливо счастье несчастье
справедливо несправедливо терпеливо нетерпеливо
заметно незаметно возможно невозможно
заметно незаметно можно нельзя
заметно незаметно далеко недалеко
заметно незаметно всех никого
заметно незаметно всегда никогда
заметно незаметно приятно неприятно
заметно незаметно хорошо нехорошо
заметно незаметно правда неправда
заметно незаметно давно недавно
заметно незаметно справедливо несправедливо
заметно незаметно охотно неохотно
заметно незаметно известно неизвестно
заметно незаметно долго недолго
заметно незаметно счастье несчастье
заметно незаметно терпеливо нетерпеливо
охотно неохотно возможно невозможно
охотно неохотно можно нельзя
охотно неохотно далеко недалеко
охотно неохотно всех никого
охотно неохотно всегда никогда
охотно неохотно приятно неприятно
охотно неохотно хорошо нехорошо
охотно неохотно правда неправда
охотно неохотно давно недавно
охотно неохотно справедливо несправедливо
охотно неохотно заметно незаметно
охотно неохотно известно неизвестно
охотно неохотно долго недолго
охотно неохотно счастье несчастье
охотно неохотно терпеливо нетерпеливо
известно неизвестно возможно невозможно
известно неизвестно можно нельзя
известно неизвестно далеко недалеко
известно неизвестно всех никого
известно неизвестно всегда никогда
известно неизвестно приятно неприятно
известно неизвестно хорошо нехорошо
известно неизвестно правда неправда
известно неизвестно давно недавно
известно неизвестно справедливо несправедливо
известно неизвестно заметно незаметно
известно неизвестно охотно неохотно
известно неизвестно долго недолго
известно неизвестно счастье несчастье
известно неизвестно терпеливо нетерпеливо
