: мужской - женский род (глаголы прошедшего времени)
посмотрел посмотрела
сказал сказала
был была
спросил спросила
мог могла
делал делала
жил жила
говорил говорила
отвечал отвечала
стал стала
знал знала
думал думала
подумал подумала
хотел хотела
видел видела
продолжал продолжала
подошел подошла
встал встала
понял поняла
вышел вышла
слышал слышала

: мужской - женский род (остальные)
он она
его ее
него нее
ему ей
нему ней
который которая
сам сама
князь княгиня
князь княжна
другой другая
твой твоя
мой моя
должен должна
один одна
онъ она
старик старуха
добрый добрая
мужчина женщина
девушка мальчик
муж жена

: единственное число - множественное число
человек люди
я мы
глаз глаза
мужчина мужчины
этот эти
солдат солдаты
женщина женщины
офицер офицеры
народ народы
мужик мужики
война войны
желание желания
дорога дороги
закон законы
грех грехи
лицо лица
голова головы
окно окна

: антонимы с не-
возможно невозможно
можно нельзя
далеко недалеко
всех никого
всегда никогда
приятно неприятно
хорошо нехорошо
правда неправда
давно недавно
справедливо несправедливо
заметно незаметно
охотно неохотно
известно неизвестно
долго недолго
счастье несчастье
терпеливо нетерпеливо
